('cukkini',129,31,1.5,0.4,5.3,NULL,NULL,30,NULL,58,1),
('endivia saláta',53,13,1.8,0.2,0.9,53,346,54,10,190,NULL),
('fejes saláta',69,17,1.4,0.3,2,16,261,28.2,24,133,0.4),
('fekete retek',40,10,1.1,0.2,1,18,322,33,15,1,NULL),
('fokhagyma',560,134,6.8,0.1,26.3,NULL,NULL,38,NULL,NULL,0),
('fõzõtök',127,30,1.1,0.1,6.1,12,98,20,8,50,1),
('kapor',264,63,3.7,0.8,10.2,27,647,230,28,1017,1.7),
('karalábé',160,38,2.1,0.2,6.9,53,300,43,32,33,NULL),
('karfiol',121,29,2.4,0.4,3.9,11,175,28.9,31,33,0),
('kelbimbó',207,50,4.9,0.6,6.1,7,411,30,22,67,0.9),
('kelkáposzta',144,34,3.6,0.3,4.3,42,320,56.8,31,NULL,1.7),
('kígyóuborka',49,12,1,0.1,1.7,13,150,15,8,33,0.1),
('kínaikel',65,16,1.2,0.3,2,7,202,40,11,13,1.7),
('lilakáposzta',132,32,1.7,0.2,5.7,4,266,35,18,5,1.7),
('mirelit brokkoli',98,24,3.3,0.2,2.1,13,373,105,24,298,0.4),
('mirelit karfiol',121,29,2.4,0.4,3.9,11,175,28.9,31,31,0),
('mirelit kelbimbó',207,50,4.9,0.6,6.1,7,411,30,22,63,0.8),
('mirelit kukorica',536,128,4.7,1.6,23.6,6,300,6.5,48,26,0.1),
('mirelit lecsó',85,20,1.1,0.3,3.3,4,188,12.6,17.2,82,2.1),
('mirelit mexikói vegyesfõzelék',319,76,4.2,0.6,13.3,45,328,35.5,41.5,596,0.5),
('mirelit sárgarépa',168,40,1.2,0.2,8.1,125,360,46,18,1880,0.5),
('mirelit sóska',113,27,2.4,0.5,2.3,26,340,113,NULL,548,1.4),
('mirelit spenót',80,19,2.3,0.3,1.8,24,526,133,53,658,2.2),
('mirelit tök',127,30,1.1,0.1,6.1,12,98,20,8,47,0.9),
('mirelit vegyesfõzelék (finom),',246,59,3.8,0.3,10,44,314,40.6,37.7,600,0.5),
('mirelit zöldbab',172,41,2.6,0.3,6.8,1,229,32,29,47,0.1),
('mirelit zöldborsó',372,89,7,0.4,14,7,325,37,64,63,0.3),
('padlizsán',110,26,1.3,0.2,4.8,4,145,13.1,10.8,5,0),
('paradicsom',92,22,1,0.2,4,6,240,14,20,133,0.8),
('paradicsompaprika',130,31,0.9,0.2,6.4,2,177,9,10,NULL,0.7),
('patisszon',128,31,1.2,0.1,6.2,12,98,20,8,50,1),
('petrezselyemgyökér',123,29,1.2,0.1,5.9,34,298,56,9,17,1.7),
('petrezselyemzöld',254,61,4.4,0.4,9.8,33,1000,245,41.1,1217,2.7),
('póréhagyma',154,37,2.2,0.3,6.3,5,225,87,18,3,0.9),
('retek',61,15,1.2,0.1,2.2,59,270,47,8,3,0),
('sárgarépa',168,40,1.2,0.2,8.1,125,360,46,18,2000,0.6),
('snidling',115,27,3.6,0.7,1.6,3,434,129,44,50,1.6),
('sóska',113,27,2.4,0.5,2.3,26,340,113,NULL,583,1.6),
('spárga',68,16,2,0.1,1.8,20,240,7,20,5,2),
('spenót',80,19,2.3,0.3,1.8,24,526,133,53,700,2.5),
('sütõtök',325,78,1.5,0.6,16.5,7,351,40,NULL,667,1),
('fejeskáposzta',135,32,1.6,0.2,5.7,13,216,33.3,24,7,1.7),
('torma',328,78,2.7,0.4,15.9,9,554,105,33,3,NULL),
('uborka',49,12,1,0.1,1.7,13,150,15,8,33,0.1),
('vöröshagyma',165,40,1.2,0.1,8.3,9,175,31,11,5,0.1),
('zeller',129,31,1.4,0.3,5,77,370,68,9.3,3,0.8),
('zöldbab',172,41,2.6,0.3,6.8,1,229,32,29,50,0.1),
('zöldborsó',372,89,7,0.4,14,7,325,37,64,67,0.4),
('zöldpaprika',82,20,1.2,0.3,3,3,165,12,16,67,3.1),
('csiperke',162,39,5.9,0.2,3.3,8,254,45,13,2,0.1),
('csiperke konzerv',108,26,2.3,0.5,3,319,127,19,15,NULL,0),
('laskagomba',159,38,1.9,0.7,6,NULL,NULL,NULL,NULL,NULL,0.1),
('vargánya',167,40,5.7,0.2,3.8,6,580,7,12,NULL,0.2),
('burgonya',392,94,2.5,0.2,20,5,340,12,28,2,0.1),
('burgonyapehely',1358,325,8.6,0.6,71,160,1150,30,NULL,NULL,NULL),
('alma',145,35,0.4,0.4,7,4,112,10.5,11,8,0.5),
('ananász',220,53,0.4,0.1,12,2,173,16,17,10,0.1),
('avokádó',737,176,2,15.3,7.4,10,599,11,39,61,1.3),
('banán',439,105,1.3,0.1,24.2,22,500,110,60,33,0.3),
('besztercei szilva',252,60,0.7,0.2,13.1,4,240,16,16,33,0.8),
('birsalma',207,49,0.6,0.9,9.1,9,189,66,10,6,NULL),
('citrom',128,31,0.4,0.6,2.3,4,275,14,20,3,0.8),
('cseresznye',270,65,0.8,0.3,14,8,174,16.3,16,13,0.1),
('csipkebogyó',276,66,3.6,1.3,8,146,291,50,104,NULL,NULL),
('cukordinnye',196,47,0.3,0.1,11.1,8,210,12.6,20,NULL,0.1),
('egres',167,40,0.6,0.2,8,6,183,36.4,15,33,0.4),
('eper',162,39,0.9,0.4,7.2,5,145,28.1,18,8,0.1),
('fekete áfonya',378,90,0.6,0.6,19.6,1,65,10,2.4,22,NULL),
('fekete ribizli',207,49,0.9,0.2,9.5,8,187,39.8,17,17,1),
('görögdinnye',130,31,0.5,0.2,6.5,5,147,19.4,15,NULL,0.1),
('gránátalma',322,77,0.7,0.6,16.7,NULL,NULL,NULL,NULL,7,NULL),
('grapefruit',151,36,0.5,0.2,7.2,2,180,18,10,3,0.3),
('kiwi',255,61,1,0.6,11.3,4,295,38,23.8,8,NULL),
('körte',222,53,0.4,0.3,12,2,100,15.7,10,5,0.4),
('málna',145,35,1.2,0.3,5.4,4,172,27.3,24,13,0.5),
('mandarin',196,47,0.7,0.3,9.8,1,210,23,11,67,NULL),
('mangó',304,73,0.5,0.3,17,2,156,10,9,389,1.1),
('meggy',236,56,0.8,0.5,11,5,186,31.3,15,50,0.1),
('mirelit cseresznye',270,65,0.8,0.3,14,8,174,16.3,16,13,0.1),
('mirelit egres',167,40,0.6,0.2,8,6,183,36.4,15,31,0.3),
('mirelit földieper',162,39,0.9,0.4,7.2,5,145,28.1,18,8,0.1),
('mirelit málna',145,35,1.2,0.3,5.4,4,172,27.3,24,13,0.4),
('mirelit meggy',236,56,0.8,0.5,11,5,186,31.3,15,47,0.1),
('mirelit ribizli',160,38,0.6,0.2,7,3,316,56.8,10,6,0.2),
('mirelit szilva',198,47,0.8,NULL,10.2,4,240,16,16,33,0.7),
('narancs',173,41,0.6,0.2,8.5,3,255,43.8,22,17,0.2),
('naspolya',223,53,0.6,NULL,12,5,231,49,11,NULL,NULL),
('nektarin',231,55,0.9,0.5,11.8,NULL,212,5,8,74,0.9),
('õszibarack',173,41,0.7,0.1,9,4,183,8.7,14,67,1.8),
('papaya',180,43,0.6,0.1,9.8,3,257,24,10,28,1.1),
('piros ribizli',160,38,0.6,0.2,7,3,316,56.8,10,7,0.2),
('ringló szilva',254,61,0.8,NULL,13.5,1,243,14,9.6,30,0.7),
('sárgabarack',207,49,0.9,0.1,10.2,6,226,13.8,14,300,0.5),
('sárgadinnye',169,40,0.3,0.1,9.5,8,210,12.6,20,300,0.1),
('szeder',162,39,0.8,1,6,3,160,52,22,50,0.7),
('szilva',198,47,0.8,NULL,10.2,4,240,16,16,35,0.8),
('szõlõ',337,81,0.6,0.3,18.1,2,195,28.2,14,50,0.4),
('alma befõtt',361,86,0.3,0.3,20.2,1,72,6,3.5,NULL,0.2),
('ananász befõtt',368,88,0.4,0.2,20.2,1,75,13,8,7,0),
('aszalt alma',1052,252,1.4,1.6,55.4,10,622,32,NULL,NULL,NULL),
('aszalt füge',1026,246,3.5,1.3,54,40,850,193,70,8,NULL),
('aszalt õszibarack',1264,302,4.9,1,65.9,9,1340,44,54,83,NULL),
('aszalt sárgabarack',1282,307,5,0.5,70.2,11,1370,82,50,770,NULL),
('aszalt szilva',917,219,2.3,0.6,47.4,8,824,41,27,23,NULL),
('banánchips',1895,453,3.4,20.2,62.9,57,1300,286,156,72,6.1),
('birsalmabefõtt',376,90,0.4,0.5,20.4,6,114,39.7,6,3,NULL),
('cseresznyebefõtt',357,85,0.6,0.2,19.8,6,122,11.5,11.2,8,0.1),
('datolya',1179,282,1.9,0.5,66.3,35,650,63,50,5,NULL),
('eper befõtt',320,77,0.6,0.2,18.1,4,107,7,22,NULL,0),
('kókuszreszelék',2545,609,5.6,62,6.4,28,750,22,90,NULL,NULL),
('körte befõtt',404,97,0.3,NULL,23.7,6,66,7,4,2,0.2),
('mazsola',1201,287,2.4,NULL,65,36,1000,110,43,5,NULL),
('meggy befõtt',378,90,0.6,0.2,20.8,2,135,12,21,25,0.1),
('mirelit gesztenyemassza',915,219,2.9,0.9,49.5,1,332,56.9,28.9,3,0.5),
('õszibarack befõtt',367,88,0.5,NULL,21.2,3,130,3.9,5.4,45,0.5),
('sárgabarack befõtt',312,75,0.5,0.1,17,13,196,11,9.6,283,0.2),
('szilva befõtt',378,90,0.4,NULL,21.9,12,118,10.3,NULL,140,0.4),
('áfonya lekvár',1016,243,0.3,NULL,59.7,NULL,64,NULL,NULL,NULL,NULL),
('birsalma lekvár',996,238,0.2,NULL,58.8,NULL,NULL,NULL,NULL,NULL,NULL),
('csipkebogyó lekvár',989,237,0.5,NULL,58,5,165,71,130,NULL,NULL),
('eper lekvár',990,237,0.4,NULL,58.2,NULL,62,9.5,NULL,NULL,NULL),
('málna lekvár',1081,259,0.5,NULL,63.3,7,56,NULL,NULL,NULL,NULL),
('meggy lekvár',1203,288,0.4,NULL,70.3,11,90,9,NULL,NULL,NULL),
('ribizli lekvár',1048,251,0.2,NULL,61.6,NULL,NULL,NULL,NULL,NULL,NULL),
('sárgabarack lekvár',1098,263,0.4,NULL,64.5,18,133,21,18,333,NULL),
('szeder lekvár',1015,243,0.5,0.4,58.7,6,42,NULL,NULL,NULL,NULL),
('szilva lekvár',948,227,1.3,NULL,54,26,500,50,26,83,NULL),
('vegyesíz',1034,247,1,NULL,60,47,225,35,47,NULL,NULL),
('Gyümölcslevek. zöldséglevek. üdítõitalok',,,0.2,0,3.1,0,55,4.4,4,3,NULL),
('citromlé',76,18,0.1,NULL,14,2,116,6.9,4.2,8,NULL),
('friss almalé',244,58,0.4,0.1,7.7,1,138,11,10,8,NULL),
